#script,url,tags,sRunStatus,sSiteType,sSite,sGradYear4,sGradTerm4,sOfferTiming4,sCutoffDate4,sSubReport,sDatafileName4
NALP_Actual.sah,http://sahitest.com/demo/,"Actual_All,Actual_NALP",Y,NALP Report (16),UCLA_Law,2013,0,0,With,Class Summary,Auto_Data_NALP_Table_CS_Table_1
#script,url,tags,sRunStatus,sSiteType,sSite,sGradYear4,sGradTerm4,sOfferTiming4,sCutoffDate4,sSubReport,sDatafileName4
NALP_Actual.sah,http://sahitest.com/demo/,"Actual_All,Actual_NALP",Y,NALP Report (16),UCLA_Law,2013,0,0,Without,Class Summary,Auto_Data_NALP_Table_CS_Table_2
#script,url,tags,sRunStatus,sSiteType,sSite,sGradYear4,sGradTerm4,sOfferTiming4,sCutoffDate4,sSubReport,sDatafileName4
NALP_Actual.sah,http://sahitest.com/demo/,"Actual_All,Actual_NALP",Y,NALP Report (16),UCLA_Law,2013,0,1,With,Class Summary,Auto_Data_NALP_Table_CS_Table_3
#script,url,tags,sRunStatus,sSiteType,sSite,sGradYear4,sGradTerm4,sOfferTiming4,sCutoffDate4,sSubReport,sDatafileName4
NALP_Actual.sah,http://sahitest.com/demo/,"Actual_All,Actual_NALP",Y,NALP Report (16),UCLA_Law,2013,1,0,With,Class Summary,Auto_Data_NALP_Table_CS_Table_4
#script,url,tags,sRunStatus,sSiteType,sSite,sGradYear4,sGradTerm4,sOfferTiming4,sCutoffDate4,sSubReport,sDatafileName4
NALP_Actual.sah,http://sahitest.com/demo/,"Actual_All,Actual_NALP",Y,NALP Report (16),UCLA_Law,2012,0,0,With,Class Summary,Auto_Data_NALP_Table_CS_Table_5
